Protein	Term
Q12778	GO:0001228
Q12778	GO:0008013
P00740	GO:0004252
P00740	GO:0005509
O75461	GO:0000978
O75461	GO:0001227
Q8TF50	GO:0000978
Q8TF42	GO:0004725
Q9HCU9	GO:0042826
P58012	GO:0000978
P10767	GO:0008083
P21781	GO:0008083
Q9HBH7	GO:0061629
Q401N2	GO:0008270
Q401N2	GO:1904315
Q09013	GO:0005524
O95372	GO:0045296
Q9NS91	GO:0003684
Q9NS91	GO:0031625
O00299	GO:0045296
O00299	GO:0005254
Q8IZP0	GO:0045296
Q9C056	GO:0000978
Q9UK80	GO:0004843
Q9H040	GO:0043130
Q9H040	GO:0004222
Q8N4G2	GO:0005525
P51178	GO:0005546
Q6NUI6	GO:0005518
Q9NSA2	GO:0005249
P62820	GO:0003924
P62820	GO:0045296
Q9H239	GO:0004222
A6NFA1	GO:0004222
Q02086	GO:0000978
Q02086	GO:0042826
Q02086	GO:0001227
Q96HQ0	GO:0000978
Q02318	GO:0020037
Q99836	GO:0043621
P10323	GO:0004252
P10323	GO:0008270
P10323	GO:0005507
P04183	GO:0008270
P49863	GO:0004252
Q96LW4	GO:0030145
Q96LW4	GO:0008270
Q9UHV9	GO:0001540
Q9UHV9	GO:0051082
P17027	GO:0000978
P13796	GO:0005178
P13796	GO:0051015
P13796	GO:0005509
Q8N427	GO:0008017
Q96D59	GO:0061630
O15547	GO:0005524
P78412	GO:0001228
Q9NX47	GO:0061630
P26012	GO:0005178
Q9UNN4	GO:0003713
P01854	GO:0034987
Q8NGP0	GO:0004984
P08185	GO:0004867
Q15257	GO:0042803
Q15257	GO:0005524
Q6SA08	GO:0000287
Q6SA08	GO:0005524
P46060	GO:0005096
P46060	GO:0045296
Q02539	GO:0031490
P62937	GO:0051082
P21549	GO:0043621
Q9UGI0	GO:0004843
Q9NS23	GO:0008270
Q9HCM9	GO:0061630
P21266	GO:0042803
O75022	GO:0001540
Q6ZR52	GO:0000978
Q6ZR52	GO:0001228
O94888	GO:0031625
O94888	GO:0061629
Q96M02	GO:0008017
Q16621	GO:0000978
Q16621	GO:0047485
Q9UBV4	GO:0005109
Q8TCT7	GO:0042803
Q8TC17	GO:0030971
Q9BXW4	GO:0008017
Q9BXW4	GO:0031625
P63098	GO:0005509
P63098	GO:0005516
P15173	GO:0000978
P15173	GO:0001228
Q16539	GO:0019903
Q01813	GO:0045296
Q01813	GO:0005524
Q9UQQ1	GO:0042803
Q9UQQ1	GO:0008270
Q8NBZ7	GO:0042803
P42677	GO:0008270
P08133	GO:0005544
P08133	GO:0005509
P08133	GO:0051015
P08133	GO:0048306
Q8WVJ2	GO:0051082
P23297	GO:0048306
P23297	GO:0042803
P23297	GO:0005509
Q9NXV6	GO:0002039
P68036	GO:0031625
P68036	GO:0061631
P68036	GO:0003713
Q02930	GO:0000978
P01742	GO:0034987
Q93034	GO:0031625
Q9UL59	GO:0000978
Q9UL59	GO:0008270
O00139	GO:0008017
P24903	GO:0004497
P24903	GO:0020037
P48730	GO:0045296
P55211	GO:0017124
P55211	GO:0004197
P61278	GO:0005179
P17612	GO:0031625
P39900	GO:0005518
P39900	GO:0008270
P39900	GO:0004222
P39900	GO:0005509
P39900	GO:0004252
Q9HAZ1	GO:0004713
P48506	GO:0000287
P98066	GO:0005509
P05060	GO:0005179
Q9NTG7	GO:0008270
Q6MZQ0	GO:0031625
Q7L804	GO:0042803
Q8NH21	GO:0004984
Q9H1K0	GO:0008270
Q8WVZ7	GO:0061630
P02771	GO:0005504
Q8NH09	GO:0004984
Q9NQW7	GO:0030145
Q9NQW7	GO:0042803
P35398	GO:0000978
P35398	GO:0004879
Q9NZQ0	GO:0003924
Q9H0F6	GO:0043130
Q9HAB8	GO:0042803
Q96H15	GO:0001786
Q04756	GO:0004252
O95178	GO:0008137
Q15853	GO:0046982
Q15853	GO:0042803
Q96KX2	GO:0051015
Q9UKP6	GO:0008528
P10720	GO:0008009
Q99967	GO:0003713
Q14164	GO:0031625
O75936	GO:0008270
Q9Y463	GO:0003713
P31314	GO:0000978
Q9BZK7	GO:0047485
Q9BZK7	GO:0008013
Q8TCT8	GO:0042803
Q9H209	GO:0004984
Q9HB90	GO:0046982
Q9HB90	GO:0019003
Q9HB90	GO:0000287
Q9HB90	GO:0005525
Q9HB90	GO:0003924
Q99592	GO:0000978
P27216	GO:0005544
P27216	GO:0005509
P27216	GO:0001786
Q9Y5A6	GO:0000978
Q8WUA7	GO:0042803
Q8WUA7	GO:0005096
P16442	GO:0030145
P35244	GO:0003684
Q5SXM1	GO:0000978
Q13177	GO:0045296
Q16829	GO:0004725
P12272	GO:0005179
P29372	GO:0003684
Q7Z449	GO:0004497
Q7Z449	GO:0020037
O75469	GO:0000978
O75469	GO:0001228
O75469	GO:0004879
Q9HD40	GO:0000049
Q9P289	GO:0042803
Q9P289	GO:0000287
Q9P289	GO:0005524
Q6PI48	GO:0042803
Q6PI48	GO:0000049
Q6PI48	GO:0005524
O75348	GO:0051117
P12755	GO:0031625
P12755	GO:0008270
Q9NVW2	GO:0061630
P49407	GO:0031625
P49407	GO:0005096
P49407	GO:0003713
P49715	GO:0000978
P49715	GO:0061629
Q9GZV9	GO:0008083
Q92956	GO:0031625
Q92956	GO:0019955
P30411	GO:0046982
Q99828	GO:0031267
Q99828	GO:0005509
Q96GC6	GO:0000978
Q8NGC0	GO:0004984
P0DP07	GO:0034987
P17081	GO:0005525
P17081	GO:0003924
P09493	GO:0051015
Q9H4B7	GO:0005525
Q32M78	GO:0000978
P18507	GO:1904315
Q8TEY5	GO:0000978
Q92784	GO:0008270
P10599	GO:0042803
Q9NXR8	GO:0035064
P17030	GO:0001227
O14905	GO:0005109
Q9H093	GO:0005524
O75695	GO:0000287
P57796	GO:0044325
P57796	GO:0005509
Q8IYD1	GO:0003924
P21128	GO:0030145
P13645	GO:0046982
Q9H7X0	GO:0042803
Q9Y6E0	GO:0045296
P05108	GO:0020037
Q96ND8	GO:0000978
Q8WU76	GO:0019905
O15066	GO:0031267
P53602	GO:0042803
O14948	GO:0000978
O14948	GO:0001228
O14948	GO:0001227
P08237	GO:0008022
P08237	GO:0005524
Q9UKI9	GO:0000978
Q9UKI9	GO:0001228
Q6P9G9	GO:0000978
Q99685	GO:0042803
P01764	GO:0034987
Q8IZ20	GO:0000978
O15217	GO:0042803
P23276	GO:0004222
Q96DA2	GO:0005525
P51159	GO:0005525
P51159	GO:0019003
P23945	GO:0008528
Q9H6Z4	GO:0005096
Q96T92	GO:0000978
Q96T92	GO:0001227
Q9H244	GO:0005085
P30626	GO:0046982
P30626	GO:0044325
P30626	GO:0005509
Q8NH08	GO:0004984
P30049	GO:0005524
P04156	GO:0008017
P04156	GO:0001540
P04156	GO:0005507
Q9BSW2	GO:0003924
Q5SQN1	GO:0005484
Q5SQN1	GO:0019905
P49335	GO:0000978
O76027	GO:0001786
O76027	GO:0005544
O76027	GO:0005509
O76027	GO:0005546
O14964	GO:0043130
Q969W8	GO:0001227
Q15907	GO:0045296
Q15907	GO:0005525
Q15907	GO:0019003
O95264	GO:0005231
O95264	GO:1904315
O75351	GO:0008022
O75351	GO:0042803
Q6H8Q1	GO:0051015
Q6ZQN5	GO:0000978
P01242	GO:0005179
P01242	GO:0008083
P60842	GO:0003725
P60842	GO:0003743
Q86YL7	GO:0051087
O95409	GO:0000978
Q92730	GO:0003924
Q9H7R5	GO:0000978
Q99504	GO:0004725
P06865	GO:0046982
Q8IY57	GO:0003713
P16333	GO:0030971
P16333	GO:0045296
Q9H0B6	GO:0045296
P28562	GO:0004725
O43765	GO:0043621
Q8TAV3	GO:0004497
Q8TAV3	GO:0020037
Q9UGI6	GO:0005516
Q03014	GO:0000978
Q03014	GO:0001228
Q03014	GO:0001227
Q03014	GO:0042803
P21127	GO:0005524
Q9NYD6	GO:0001228
Q7L5Y1	GO:0000287
Q9H598	GO:0015171
O00264	GO:0001540
O00264	GO:0020037
Q99417	GO:0003713
Q9NRE1	GO:0004222
O14753	GO:0000978
Q9UK22	GO:0061630
Q04837	GO:0042803
Q04837	GO:0003697
Q96A32	GO:0005509
Q16610	GO:0008022
Q9UBL6	GO:0005544
Q96C23	GO:0042803
O95780	GO:0000978
A8MPY1	GO:0005231
A8MPY1	GO:1904315
A8MPY1	GO:0005254
P47902	GO:0000978
P47902	GO:0001228
Q9HC38	GO:0045296
Q9C029	GO:0061630
O00165	GO:0047485
Q15619	GO:0004984
Q8NH81	GO:0004984
P25685	GO:0051087
P25685	GO:0051117
O94842	GO:0031490
O00635	GO:0061630
O00635	GO:0042803
O00635	GO:0003713
P49747	GO:0005509
Q99965	GO:0005178
Q8N5K1	GO:0042803
Q6XYQ8	GO:0005544
Q6XYQ8	GO:0005509
Q6XYQ8	GO:0001786
Q6XYQ8	GO:0019905
P14780	GO:0005518
P14780	GO:0008270
P14780	GO:0004252
P14780	GO:0004222
Q92966	GO:0000978
P35711	GO:0000978
Q9GZT8	GO:0061629
Q99952	GO:0004725
Q96KC9	GO:0005509
Q9NSA1	GO:0008083
P36404	GO:0003924
P06748	GO:0042803
P06748	GO:0003713
Q92928	GO:0003924
Q8N4Z0	GO:0005525
Q8N4Z0	GO:0003924
Q8N4Z0	GO:0019003
P23511	GO:0000978
P09601	GO:0042803
P09601	GO:0020037
A2A3K4	GO:0004725
Q9UP65	GO:0005544
Q96BV0	GO:0000978
Q68DY9	GO:0000978
O14994	GO:0005524
Q8IXL9	GO:0005516
Q9NZD4	GO:0051082
P26927	GO:0030971
P05161	GO:0005178
P05161	GO:0031625
Q9P258	GO:0008017
Q9P258	GO:0031267
A0A075B7D8	GO:0034987
P49006	GO:0051015
Q14508	GO:0004867
Q8TCQ1	GO:0061630
Q9UII2	GO:0042803
P16035	GO:0008270
Q53GS9	GO:0004843
P04085	GO:0005518
P04085	GO:0008083
P04085	GO:0046982
Q08629	GO:0005509
Q08629	GO:0004867
P33552	GO:0043130
P29218	GO:0030145
O15263	GO:0005546
P51648	GO:0042803
P28698	GO:0000978
P28698	GO:0001228
P28698	GO:0001227
Q05195	GO:0000978
Q05195	GO:0001227
Q8NCG5	GO:0008146
Q6ZS27	GO:0000978
P17181	GO:0004896
P17181	GO:0019955
O15393	GO:0004252
P16520	GO:0003924
A4D1E9	GO:0005525
A4D1E9	GO:0003924
Q9GZZ0	GO:0000978
Q8NI37	GO:0004722
Q2M2D7	GO:0005096
Q9NRY7	GO:0005509
P10242	GO:0000978
P10242	GO:0001228
P52757	GO:0005096
P41159	GO:0005179
O75489	GO:0008137
Q9Y2C2	GO:0008146
Q96BD8	GO:0008017
Q9UKR3	GO:0004252
O43248	GO:0000978
O43248	GO:0001228
Q86XS8	GO:0061630
Q9P2Y4	GO:0000978
Q969T4	GO:0061631
Q13939	GO:0051015
O94768	GO:0005524
Q09328	GO:0030145
A1L167	GO:0061631
Q9NQZ7	GO:0003924
Q9GZT5	GO:0005109
Q96DT0	GO:0005178
P52569	GO:0015171
O75838	GO:0005509
O15554	GO:0005516
Q9Y258	GO:0008009
Q9BZG1	GO:0031267
O43927	GO:0008009
P24522	GO:0046982
P24522	GO:0042803
P24522	GO:0047485
Q9BT88	GO:0031625
Q9BT88	GO:0005544
Q9BT88	GO:0005509
Q9BT88	GO:0001786
Q9Y606	GO:0000049
Q9UJ83	GO:0000287
Q9UJ83	GO:0005524
O14933	GO:0031625
O14933	GO:0061631
A0M8Q6	GO:0034987
Q9H3M0	GO:0005249
P25490	GO:0000978
P25490	GO:0001228
P25490	GO:0001227
P54845	GO:0000978
P54845	GO:0001228
P61077	GO:0061631
Q07343	GO:0044325
Q8IYX7	GO:0008017
P56181	GO:0008137
P61266	GO:0005484
Q9H3R2	GO:0042803
P04040	GO:0042803
C9J1S8	GO:0061630
Q9H444	GO:0042803
Q9H444	GO:0045296
P20472	GO:0005509
P36543	GO:0051117
Q96N96	GO:0005085
Q6DJT9	GO:0000978
Q6DJT9	GO:0001228
P28069	GO:0000978
P38919	GO:0005524
Q9UBP0	GO:0008017
Q8TBB6	GO:0015171
Q16082	GO:0051082
Q9NZV7	GO:0008270
Q9NZV7	GO:0001227
P05451	GO:0008083
O43504	GO:0005085
P85037	GO:0000978
P85037	GO:0001227
O75326	GO:0005178
P08240	GO:0003924
O15162	GO:0001228
O15162	GO:0005509
O15162	GO:0017124
Q9Y281	GO:0051015
O15297	GO:0004722
Q9Y4Y9	GO:0046982
P54725	GO:0043130
Q9NX57	GO:0003924
Q5VTD9	GO:0000978
Q5VTD9	GO:0001228
Q5VTD9	GO:0061629
O43474	GO:0000978
O43474	GO:0001228
O43474	GO:0008270
O43474	GO:0061629
P25942	GO:0031625
O76090	GO:0005254
Q8NCH0	GO:0008146
Q6ZN11	GO:0000978
Q96JL9	GO:0000978
P48307	GO:0004867
Q8N3J9	GO:0000978
Q96RR1	GO:0003697
O95169	GO:0008137
P14921	GO:0000978
P14921	GO:0001228
P21741	GO:0008083
O95249	GO:0005484
Q96CA5	GO:0061630
Q92563	GO:0005509
P23769	GO:0000978
P23769	GO:0061629
Q9UBC0	GO:0000978
Q96HY6	GO:0061629
Q96H86	GO:0001227
Q96MT1	GO:0061630
Q8N668	GO:0042803
Q8N668	GO:0005546
Q8N668	GO:0005507
Q9H1F0	GO:0004867
Q70EK9	GO:0004843
O75154	GO:0031267
O75154	GO:0042803
O95947	GO:0000978
P11831	GO:0000978
P11831	GO:0001228
P11831	GO:0042803
Q9HB19	GO:0030165
Q01650	GO:0015171
Q96MC4	GO:0008017
Q9NRG4	GO:0002039
P29377	GO:0005509
P78406	GO:0043130
O15239	GO:0008137
P52952	GO:0000978
P52952	GO:0001228
P52952	GO:0061629
Q9H147	GO:0042803
Q8NGJ9	GO:0004984
A8MTY0	GO:0000978
Q9H1K1	GO:0042803
Q9H1K1	GO:0008270
Q494U1	GO:0001786
Q86UW9	GO:0061630
Q8NGN8	GO:0004984
O43623	GO:0000978
O43623	GO:0001227
Q14684	GO:0003713
O60925	GO:0001540
Q9H5J0	GO:0000978
P18031	GO:0004725
P18031	GO:0030971
P18031	GO:0045296
P23381	GO:0042803
Q8NGE7	GO:0004984
Q13634	GO:0005509
Q13634	GO:0045296
P07902	GO:0008270
O43435	GO:0000978
O43435	GO:0042803
P16452	GO:0005524
Q15370	GO:0031625
P23416	GO:0005231
P23416	GO:1904315
O15344	GO:0008017
O15344	GO:0031625
O15344	GO:0042803
P15289	GO:0005509
Q12792	GO:0005524
Q12792	GO:0051015
Q12792	GO:0004713
Q96BT7	GO:0000049
Q96BT7	GO:0008270
Q96LX8	GO:0001228
O15511	GO:0051015
Q9Y3L5	GO:0005525
Q9Y3L5	GO:0003924
Q9Y3L5	GO:0019003
Q9Y3L5	GO:0003713
P84095	GO:0005525
P84095	GO:0003924
P48637	GO:0042803
P48637	GO:0000287
P48637	GO:0005524
Q9BT49	GO:0035064
Q86TJ2	GO:0003713
Q15562	GO:0000978
P43234	GO:0004197
P48169	GO:0005231
P48169	GO:0005254
E7ETH6	GO:0001227
O43307	GO:0005085
P48643	GO:0051082
Q9UMX3	GO:0046982
Q9UMX3	GO:0042803
Q92743	GO:0004252
P33897	GO:0042803
P33897	GO:0005524
Q8NHS0	GO:0051082
Q8NHS0	GO:0051087
Q9BV36	GO:0031267
Q13671	GO:0031267
Q13671	GO:0005085
A0A2R8Y422	GO:0031625
Q9BSW7	GO:0005544
Q9BSW7	GO:0005509
Q9BSW7	GO:0001786
P27694	GO:0003684
P27694	GO:0003697
Q9Y4P9	GO:0008017
Q96N87	GO:0015171
Q6UVW9	GO:0042803
P0C626	GO:0004984
O60565	GO:0042803
Q96R84	GO:0004984
A6NDH6	GO:0004984
P36897	GO:0005524
P20073	GO:0005178
P20073	GO:0048306
P61587	GO:0005525
P61587	GO:0003924
Q9BVA6	GO:0042803
Q9BVA6	GO:0051087
Q9BVA6	GO:0005524
P17066	GO:0031625
P17066	GO:0005524
Q9UKB5	GO:0008013
Q8NBB4	GO:0000978
Q08AN1	GO:0000978
O14907	GO:0008022
Q13114	GO:0031625
Q13114	GO:0019903
Q969J2	GO:0000978
Q8TCT9	GO:0042803
Q9ULV4	GO:0051015
Q8N392	GO:0005096
Q8N392	GO:0045296
Q9Y450	GO:0003924
O75478	GO:0003713
Q14929	GO:0001227
O60507	GO:0008146
P29728	GO:0003725
P29728	GO:0005524
Q96NT0	GO:0051082
P05120	GO:0004867
Q8TE85	GO:0001228
Q8TE85	GO:0031490
Q96FA3	GO:0061630
Q9H4G4	GO:0042803
Q16819	GO:0004222
Q15208	GO:0045296
Q15208	GO:0005524
P12081	GO:0005524
Q8NEG7	GO:0005085
P09919	GO:0008083
Q6ZS72	GO:0043621
P14653	GO:0000978
P14653	GO:0001228
Q504Y3	GO:0035064
Q9NNZ3	GO:0051082
P63146	GO:0031625
P16389	GO:0005249
Q8NGQ1	GO:0004984
Q9HBH9	GO:0005516
Q9HBH9	GO:0005524
Q8WZ73	GO:0061630
Q8WZ73	GO:0031625
Q96N20	GO:0001227
O95299	GO:0008137
O75928	GO:0061629
O00294	GO:0005546
O00294	GO:0051015
Q495X7	GO:0061630
Q5JRS4	GO:0004984
O96017	GO:0031625
P20336	GO:0003924
O00623	GO:0008022
P68871	GO:0020037
Q9BYE2	GO:0004252
Q9P2F9	GO:0000978
Q9P2F9	GO:0001228
Q5T0N5	GO:0045296
O43405	GO:0005518
Q9NYZ3	GO:0008017
P84243	GO:0000978
Q8NFJ9	GO:0061629
Q96R08	GO:0004984
Q9BXK1	GO:0000978
Q02548	GO:0000978
Q9NRD1	GO:0061630
Q8N6M8	GO:0005516
P51124	GO:0004252
Q96C55	GO:0000978
Q9Y6R9	GO:0008017
Q8NHM4	GO:0004252
P49257	GO:0051082
P43652	GO:0005504
P43652	GO:0008270
A6NCW0	GO:0004843
Q9BQS2	GO:0005544
Q9BQS2	GO:0005509
Q9BQS2	GO:0001786
Q9UJ72	GO:0005509
Q8N7A1	GO:1990756
Q5VTB9	GO:0008013
Q2VIR3	GO:0000049
Q2VIR3	GO:0003743
Q92874	GO:0005509
Q7LGA3	GO:0008146
Q16853	GO:0046982
Q16853	GO:0005509
Q5EBN2	GO:0061630
Q9NQ87	GO:0000978
Q9NQ87	GO:0001227
Q8N0Y5	GO:0004984
Q3LIE5	GO:0030145
Q6P9A3	GO:0000978
A0AVI4	GO:0061630
O94805	GO:0003713
Q8NH40	GO:0004984
Q8NHC6	GO:0004984
P40305	GO:0061629
P05787	GO:0097110
Q05901	GO:1904315
Q8NGW1	GO:0004984
P24385	GO:0042826
Q8N819	GO:0004722
P15509	GO:0004896
P15509	GO:0019955
Q8IZD0	GO:0051015
Q9NYR9	GO:0003924
Q16520	GO:0000978
P83110	GO:0004252
Q86UE4	GO:0003725
Q86UE4	GO:0061629
Q86UE4	GO:0003713
Q8IWQ3	GO:0051117
Q8IWQ3	GO:0000287
Q8IWQ3	GO:0005524
P55039	GO:0005525
P55039	GO:0003924
P10243	GO:0001228
Q9H6Q3	GO:0047485
Q6IQ16	GO:0031625
Q9GZZ8	GO:0005518
Q9GZZ8	GO:0047485
Q9GZZ8	GO:0008083
P09488	GO:0042803
P14923	GO:0019903
P14923	GO:0003713
Q16654	GO:0005524
Q8N6Y0	GO:0030165
P13385	GO:0008083
Q9UQ88	GO:0005524
P48443	GO:0004879
O43745	GO:0005509
Q8NC56	GO:0031490
Q96T91	GO:0046982
O15391	GO:0000978
Q15583	GO:0000978
Q15583	GO:0001227
Q96M93	GO:0003725
P08758	GO:0005509
Q8NG95	GO:0004984
Q9Y2S2	GO:0042803
O96014	GO:0005096
O96014	GO:0005109
O60760	GO:0042803
O60760	GO:0005509
O60760	GO:0000287
P43487	GO:0031267
P43487	GO:0005096
P43487	GO:0045296
Q96PD4	GO:0042803
Q92754	GO:0000978
Q92754	GO:0001228
Q92754	GO:0001227
O60356	GO:0003713
P51153	GO:0005525
P51153	GO:0003924
O43829	GO:0001227
Q6ZUT3	GO:0005085
Q9NTM9	GO:0005507
Q9BY43	GO:0051117
Q9BY43	GO:0042803
Q9UKR0	GO:0004252
P49841	GO:0002039
P49841	GO:0061629
P49841	GO:0031625
P49841	GO:0008013
Q9UL49	GO:0000978
Q9UL49	GO:0001227
O14828	GO:0031625
P98170	GO:0061630
Q8NGQ5	GO:0004984
Q9NZP8	GO:0004252
Q8TDC3	GO:0000287
Q8TDC3	GO:0005524
O15409	GO:0000978
O15409	GO:0042803
P19429	GO:0048306
P19429	GO:0051015
P36941	GO:0031625
Q9NWX6	GO:0000049
Q9NWX6	GO:0000287
Q9NWX6	GO:0005525
Q9BRZ2	GO:0061630
O60304	GO:0000978
P81274	GO:0043621
P81274	GO:0008022
P01138	GO:0008083
P14138	GO:0005179
Q96AE4	GO:0003697
Q10587	GO:0000978
Q03060	GO:0000978
Q03060	GO:0001227
P16619	GO:0008009
O94811	GO:0003924
O94811	GO:0000287
P06733	GO:0042803
P06733	GO:0001227
P06733	GO:0045296
O00255	GO:0047485
Q12899	GO:0061630
Q8WVK7	GO:0008017
Q13239	GO:0004713
Q8N2H9	GO:0061630
Q99501	GO:0008017
Q99501	GO:0051015
Q6PCD5	GO:0061630
Q96P63	GO:0004867
P18074	GO:0003684
P18074	GO:0008022
P18074	GO:0047485
Q8NGI9	GO:0004984
O95948	GO:0000978
O95948	GO:0001228
Q9HCH3	GO:0005544
P02741	GO:0005509
O14672	GO:0005178
O14672	GO:0004222
Q96PM5	GO:0008270
Q96PM5	GO:0002039
Q03721	GO:0005249
O00418	GO:0005516
Q13049	GO:0061630
Q13049	GO:0043621
Q13049	GO:0043130
Q13049	GO:0003713
Q13360	GO:0001227
Q02556	GO:0001227
Q07869	GO:0001227
Q07869	GO:0001228
Q07869	GO:0004879
Q9HD47	GO:0031267
Q9HD47	GO:0005085
Q9HD47	GO:0044325
Q13761	GO:0000978
Q13761	GO:0005524
P23396	GO:0008017
Q9H1B7	GO:0061630
P47914	GO:0045296
Q9NSN8	GO:0008022
Q10586	GO:0001228
Q9NW38	GO:0061630
Q9NW38	GO:0031625
Q9Y6K9	GO:0046982
Q9Y6K9	GO:0031625
Q96QG7	GO:0019903
P45983	GO:0042826
P45983	GO:0019903
Q86TJ5	GO:0001227
P31949	GO:0048306
P31949	GO:0042803
P31949	GO:0005509
Q9HCZ1	GO:0000978
O00591	GO:0005231
O00591	GO:1904315
Q8IZJ4	GO:0005085
P33763	GO:0005507
P33763	GO:0042803
P33763	GO:0008270
P33763	GO:0005509
P33763	GO:0048306
Q9UKZ9	GO:0005518
P01344	GO:0005178
P01344	GO:0008083
Q96DB5	GO:0008017
Q9NZZ3	GO:0045296
Q9UBP5	GO:0000978
Q9UBP5	GO:0042826
P01877	GO:0034987
Q8TAP4	GO:0003713
O15392	GO:0008017
O15392	GO:0031267
O15392	GO:0051087
P52738	GO:0000978
P52738	GO:0001227
P34741	GO:0030165
Q06732	GO:0000978
Q96HR3	GO:0003713
Q8NFJ5	GO:0045296
Q16667	GO:0004725
Q16667	GO:0004722
Q8IWF7	GO:0061631
P11161	GO:0000978
Q9H207	GO:0004984
Q14108	GO:0042803
Q96Q11	GO:0000049
Q96Q11	GO:0005524
P49842	GO:0031267
P48061	GO:0008009
Q86UT5	GO:0008022
Q92670	GO:0000978
Q9Y5R2	GO:0004222
Q9Y5X4	GO:0000978
Q9Y5X4	GO:0001228
Q9Y5X4	GO:0004879
O43663	GO:0008017
P01825	GO:0034987
P26951	GO:0004896
P26951	GO:0019955
A6ND48	GO:0004984
Q01664	GO:0000978
Q01664	GO:0001228
Q01664	GO:0042826
Q01664	GO:0042803
Q58FF6	GO:0051082
Q58FF6	GO:0005524
Q9Y5K6	GO:0017124
Q9Y5K6	GO:0045296
Q9BWP8	GO:0005509
O60493	GO:0019903
P78395	GO:1990756
Q03431	GO:0043621
Q03431	GO:0042803
Q03431	GO:0008528
M0QZC1	GO:0061630
A6NEK1	GO:0031625
A6NEK1	GO:1990756
P60604	GO:0061631
Q92791	GO:0005518
Q9GZW5	GO:0000978
Q99572	GO:0005524
O15499	GO:0000978
Q96DC9	GO:0004843
Q96DC9	GO:0043130
P07237	GO:0005178
P07237	GO:0046982
P19320	GO:0005178
Q15653	GO:0003713
P08670	GO:0003725
O43813	GO:0008270
O43813	GO:0017124
Q9HAJ7	GO:0008270
O43464	GO:0004252
P12757	GO:0001227
O75874	GO:0042803
O75874	GO:0045296
O75874	GO:0000287
Q15018	GO:0008017
O75083	GO:0051015
Q9H1I8	GO:0043130
P09529	GO:0005179
P09529	GO:0042803
Q6ZRF7	GO:0000978
Q13485	GO:0000978
Q13485	GO:0001228
Q13485	GO:0042803
P40126	GO:0005507
Q15620	GO:0004984
P51449	GO:0000978
P51449	GO:0004879
P51449	GO:0001227
Q15436	GO:0008270
Q15436	GO:0005096
Q16790	GO:0008270
Q6ZSA7	GO:0044325
Q6ZSA7	GO:0005249
Q9NPF5	GO:0061629
P17025	GO:0000978
Q8NGA2	GO:0004984
Q8IX04	GO:0043130
P04839	GO:0046982
P04839	GO:0020037
Q7Z444	GO:0005525
Q7Z444	GO:0003924
Q7Z444	GO:0019003
P35754	GO:0047485
Q5VWK5	GO:0004896
Q5VWK5	GO:0019955
Q6ZMV8	GO:0000978
Q15109	GO:0001540
Q9Y2N7	GO:0000978
P35914	GO:0030145
P35914	GO:0000287
P18146	GO:0000978
P18146	GO:0001228
P18146	GO:0008270
P56270	GO:0000978
O15143	GO:0051015
Q96LB9	GO:0046982
P58304	GO:0001227
Q8IUE1	GO:0000978
Q9Y6F9	GO:0005109
Q2KHN1	GO:0061630
Q9Y570	GO:0019903
Q9Y570	GO:0045296
P10644	GO:0031625
O94844	GO:0005525
O94844	GO:0003924
Q9NX52	GO:0004252
Q96H72	GO:0042803
Q8NCN2	GO:0000978
Q8NCN2	GO:0001227
P01127	GO:0005518
P01127	GO:0008083
P01127	GO:0046982
Q05215	GO:0000978
Q05215	GO:0001228
Q15326	GO:0035064
Q15326	GO:0008270
P22460	GO:0097110
Q8WWA0	GO:0005509
P63027	GO:0043621
P63027	GO:0005484
P63027	GO:0019905
P53634	GO:0004197
O60755	GO:0008528
Q9BXB5	GO:0001786
P26038	GO:0003725
Q9Y657	GO:0035064
Q9NXT0	GO:0000978
Q99731	GO:0008009
Q9Y6E2	GO:0045296
Q7Z6J4	GO:0005085
Q9NYA1	GO:0005516
Q9NYA1	GO:0000287
Q9NYA1	GO:0005524
P11234	GO:0019003
P11234	GO:0051117
P11234	GO:0005525
P11234	GO:0003924
P05106	GO:0005178
O96011	GO:0042803
Q6UWE0	GO:0061630
P09429	GO:0003684
P09429	GO:0005178
P09429	GO:0061629
P09429	GO:0001786
P09429	GO:0003713
Q9ULS6	GO:0005249
Q9Y4P1	GO:0004197
Q9UQN3	GO:0045296
P15374	GO:0004843
Q8IWZ6	GO:0061629
P04350	GO:0005509
P04350	GO:0005525
P05783	GO:0097110
P20718	GO:0004252
Q06889	GO:0000978
P48382	GO:0000978
P48382	GO:0001228
O15204	GO:0008270
O15204	GO:0004222
Q5T7P8	GO:0005544
Q5T7P8	GO:0005509
Q5T7P8	GO:0001786
Q9UFC0	GO:0035064
P33260	GO:0004497
P33260	GO:0020037
Q06413	GO:0061629
Q06413	GO:0046982
Q06413	GO:0042826
Q06413	GO:0001228
Q05066	GO:0000978
Q9C0K3	GO:0051015
Q9HD42	GO:0042803
Q9HD42	GO:0008270
Q9NZU0	GO:0042803
A6NM43	GO:0051082
P05231	GO:0008083
Q5T230	GO:0003713
Q9GZV5	GO:0003713
Q96A11	GO:0008146
Q9H4M9	GO:0045296
Q9H0E2	GO:0043130
P62068	GO:0004197
P40692	GO:0003697
Q9Y236	GO:0008083
Q07687	GO:0000978
P16070	GO:0004896
P16070	GO:0005518
P17021	GO:0000978
P08567	GO:0042803
